ParticipantID,BirthDate,Education,Institution,Ethnicity,Gender,Language,Major,Order,Condition,Passage,PassageType,Session,Question,QuestionType,PretestRecognition,Recognition,Readability,Learnability
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ0,Inferential,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ1,Factual,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ2,Inferential,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ3,Inferential,0,0,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ4,Inferential,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ5,Inferential,0,0,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ6,Factual,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ7,Factual,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ8,Inferential,0,1,Linear Text,Linear Text
1,2002-03-08,Current undergraduate student,,White / Caucasian,Female,English,Psychology,0,Hybrid Map,The Hearing of the Barn Owl,ACT Natural Sciences,Immediately,6rc4k1su3txN6ZK4CJ0hQ9,Factual,0,1,Linear Text,Linear Text
